Comment,Designator,Footprint,LCSC
4.7nF,C1,Capacitor_SMD:C_0805_2012Metric,C53987
22pF,"C3,C4",Capacitor_SMD:C_0805_2012Metric,C1653
0.1uF,"C2,C5,C6",Capacitor_SMD:C_0805_2012Metric,C14663
1uF,C7,Capacitor_SMD:C_0805_2012Metric,C15849
10uF,C8,Capacitor_SMD:C_0805_2012Metric,C19702
D_Small,"D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113,D114,D200,D201,D202,D203,D204,D205,D206,D207,D208,D209,D210,D211,D212,D214,D300,D301,D302,D303,D304,D305,D306,D307,D308,D309,D310,D311,D312,D314,D400,D401,D402,D404,D405,D406,D408,D409,D410,D411,D412,D414",Diode_SMD:D_SOD-123,C64898
500mA,F1,Fuse:Fuse_1206_3216Metric,C315893
1M,R1,Resistor_SMD:R_0805_2012Metric,C17514
5.1k,"R2,R3",Resistor_SMD:R_0805_2012Metric,C27834
22,"R4,R5",Resistor_SMD:R_0805_2012Metric,C17561
10k,"R6,R7",Resistor_SMD:R_0805_2012Metric,C17414
SW_Push,SW1,TS-1187A-B-A-B:SW_TS-1187A-B-A-B,C318884
ATmega32U4-AU,U1,Package_QFP:TQFP-44_10x10mm_P0.8mm,C44854
HRO-TYPE-C-31-M-12,USB1,Type-C:HRO-TYPE-C-31-M-12,C165948
16MHz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
