"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"SW_TS-1187A-B-A-B";1;"SW_Push";;;
2;"MX111,MX3,MX304,MX14,MX6,MX414,MX412,MX411,MX410,MX409,MX408,MX405,MX314,MX312,MX311,MX310,MX309,MX308,MX307,MX306,MX305,MX303,MX302,MX301,MX214,MX211,MX210,MX209,MX208,MX207,MX206,MX205,MX204,MX203,MX202,MX201,MX112,MX110,MX109,MX108,MX107,MX106,MX105,MX104,MX103,MX102,MX101,MX13,MX12,MX11,MX10,MX9,MX8,MX7,MX5,MX4,MX2,MX1,MX0";"MXOnly-1U-Hotswap";59;"MX-NoLED";;;
3;"MX113,MX100";"MXOnly-1.5U-Hotswap";2;"MX-NoLED";;;
4;"MX300,MX212";"MXOnly-2.25U-Hotswap";2;"MX-NoLED";;;
5;"MX200";"MXOnly-1.75U-Hotswap";1;"MX-NoLED";;;
6;"MX402,MX401,MX400";"MXOnly-1.25U-Hotswap";3;"MX-NoLED";;;
7;"MX406";"MXOnly-2.25U-Hotswap-ReversedStabilizers";1;"MX-NoLED";;;
8;"MX404";"MXOnly-2.75U-Hotswap-ReversedStabilizers";1;"MX-NoLED";;;
9;"2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5";"MountingHole_2.5mm_Pad";13;"2.5_Mount";;;
10;"RotaryEncoder1";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"Rotary_Encoder_Switch";;;
11;"R3,R2";"R_0805_2012Metric";2;"5.1k";;;
12;"R1";"R_0805_2012Metric";1;"1M";;;
13;"C1";"C_0805_2012Metric";1;"4.7nF";;;
14;"USB1";"HRO-TYPE-C-31-M-12";1;"HRO-TYPE-C-31-M-12";;;
15;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
16;"R7,R6";"R_0805_2012Metric";2;"10k";;;
17;"R5,R4";"R_0805_2012Metric";2;"22";;;
18;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
19;"D414,D314,D214,D114,D14,D113,D13,D412,D312,D212,D112,D12,D411,D311,D211,D111,D11,D410,D310,D210,D110,D10,D409,D309,D209,D109,D9,D408,D308,D208,D108,D8,D307,D207,D107,D7,D406,D306,D206,D106,D6,D405,D305,D205,D105,D5,D404,D304,D204,D104,D4,D303,D203,D103,D3,D402,D302,D202,D102,D2,D401,D301,D201,D101,D1,D400,D300,D200,D100,D0";"D_SOD-123";70;"D_Small";;;
20;"C8";"C_0805_2012Metric";1;"10uF";;;
21;"C7";"C_0805_2012Metric";1;"1uF";;;
22;"C6,C5,C2";"C_0805_2012Metric";3;"0.1uF";;;
23;"C4,C3";"C_0805_2012Metric";2;"22pF";;;
24;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-AU";;;
